product_id,product_name,category,price,image_url,description,size
top11,베츠 어센틱 맨투맨 그레이,상의,"34,500원",https://image.msscdn.net/images/goods_img/20200820/1557508/1557508_17036407795824_500.jpg,https://www.musinsa.com/app/goods/1557508,"['S', 'M', 'L', 'XL', 'XS']"
top12,베이식 크루 넥 반팔 티셔츠 [블랙],상의,"13,344 ~ 13,900원",https://image.msscdn.net/images/goods_img/20190327/996498/996498_17047834182987_500.jpg,https://www.musinsa.com/app/goods/996498,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top13,[2PACK] Errday 루즈핏 맨투맨 2`nd,상의,"44,018 ~ 45,900원",https://image.msscdn.net/images/goods_img/20200305/1336836/1336836_17151432494109_500.jpg,https://www.musinsa.com/app/goods/1336836,"['M', 'L', 'XL']"
top14,크루 넥 긴팔 티셔츠 [화이트],상의,"19,104 ~ 19,900원",https://image.msscdn.net/images/goods_img/20190327/996233/996233_17049525996602_500.jpg,https://www.musinsa.com/app/goods/996233,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top15,[2PACK] 스테디 니트 패키지,상의,"64,238 ~ 69,900원",https://image.msscdn.net/images/goods_img/20230824/3495320/3495320_17169653059246_500.jpg,https://www.musinsa.com/app/goods/3495320,"['M', 'L']"
top16,코튼 워셔블 하찌 벌키 크루넥 니트,상의,"39,900원",https://image.msscdn.net/images/goods_img/20220807/2702397/2702397_17169434872627_500.jpg,https://www.musinsa.com/app/goods/2702397,"['S', 'M', 'L', 'XL']"
top17,[2PACK] 레이어드 롱나시 2PACK (HJST2072),상의,"26,660 ~ 27,800원",https://image.msscdn.net/images/goods_img/20170510/552760/552760_1_500.jpg,https://www.musinsa.com/app/goods/552760,"['S', 'M', 'L', 'XL']"
top18,RV_OUR 1989 후드 (STHSTD-0004),상의,"35,387 ~ 36,900원",https://image.msscdn.net/images/goods_img/20221220/2990516/2990516_16947563515196_500.jpg,https://www.musinsa.com/app/goods/2990516,"['[M]', '[L]', '[XL]']"
top19,미시간 울버린 피그먼트 후드티 블랙 차콜,상의,"49,410 ~ 54,900원",https://image.msscdn.net/images/goods_img/20210831/2099882/2099882_1_500.jpg,https://www.musinsa.com/app/goods/2099882,"['SMALL', 'MEDIUM', 'LARGE', 'EXTRA LARGE', '[NO기모]SMALL', '[NO기모]MEDIUM', '[NO기모]LARGE', '[NO기모]EXTRA LARGE']"
top20,우먼즈 릴렉스드 크루 넥 긴팔 티셔츠 [화이트],상의,"18,144 ~ 18,900원",https://image.msscdn.net/images/goods_img/20200928/1629101/1629101_17047042528909_500.jpg,https://www.musinsa.com/app/goods/1629101,"['XS', 'S', 'M', 'L', 'XL']"
top21,화란 세미오버 니트 크림,상의,"66,076 ~ 71,900원",https://image.msscdn.net/images/goods_img/20190902/1139101/1139101_17017617848556_500.jpg,https://www.musinsa.com/app/goods/1139101,"['42 (FOR WOMAN)', '44', '46', '48', '50']"
top22,베이식 드레스 셔츠 [화이트],상의,"30,902 ~ 32,190원",https://image.msscdn.net/images/goods_img/20190315/983339/983339_2_500.jpg,https://www.musinsa.com/app/goods/983339,"['S', 'M', 'L', 'XL', '2XL']"
top23,하프 집업 카라 니트 - 6 COLOR,상의,"36,668 ~ 39,900원",https://image.msscdn.net/images/goods_img/20220818/2723754/2723754_17170572559442_500.jpg,https://www.musinsa.com/app/goods/2723754,"['M', 'L']"
top24,2color 여 슬림핏 인스티튜셔널 로고 반팔 티셔츠 (화이트블랙) J223860,상의,"27,915 ~ 36,300원",https://image.msscdn.net/images/goods_img/20211229/2285512/2285512_17169634390714_500.jpg,https://www.musinsa.com/app/goods/2285512,"['XS', 'S', 'M', 'L']"
top25,[2PACK] 제이 양기모후드 2PACK (HJHD2050),상의,"63,198 ~ 65,900원",https://image.msscdn.net/images/goods_img/20161118/449529/449529_17041571554169_500.jpg,https://www.musinsa.com/app/goods/449529,"['M', 'L', 'XL']"
top26,[베이직 OR 링거 선택] [SET] CGP 아치 로고 티셔츠,상의,"42,182 ~ 45,900원",https://image.msscdn.net/images/goods_img/20220614/2612829/2612829_17193674550457_500.jpg,https://www.musinsa.com/app/goods/2612829,"['S', 'M', 'L', 'XL']"
top27,캠프 바시티 피그먼트 스웨트셔츠 블루 섀도우,상의,"44,910 ~ 49,900원",https://image.msscdn.net/images/goods_img/20181104/897632/897632_1_500.jpg,https://www.musinsa.com/app/goods/897632,"['SMALL', 'MEDIUM', 'LARGE', 'EXTRA LARGE', '[NO기모]SMALL', '[NO기모]MEDIUM', '[NO기모]LARGE', '[NO기모]EXTRA LARGE']"
top28,012502 솔리드 폴로 티셔츠_23color,상의,"10,017 ~ 10,900원",https://image.msscdn.net/images/goods_img/20220415/2491348/2491348_16778051092911_500.jpg,https://www.musinsa.com/app/goods/2491348,"['구분', 'XS', 'S', 'M', 'L', 'XL', 'XXL']"
top29,[2PACK] 베이직 크루넥 반팔티 (오버핏/트임 선택),상의,"24,838 ~ 25,900원",https://image.msscdn.net/images/goods_img/20210222/1807072/1807072_17156686944926_500.jpg,https://www.musinsa.com/app/goods/1807072,"['M', 'L', 'XL', '2XL']"
top30,[2PACK] 더블코튼 무지반팔 2PACK KHST1011,상의,"29,900원",https://image.msscdn.net/images/goods_img/20160429/345889/345889_17156464525677_500.jpg,https://www.musinsa.com/app/goods/345889,"['M', 'L', 'XL', '2XL', '3XL']"
top31,[Mmlg] 19MG HF-T (EVERY WHITE),상의,"28,948 ~ 31,500원",https://image.msscdn.net/images/goods_img/20180403/747950/747950_16778029684918_500.jpg,https://www.musinsa.com/app/goods/747950,"['XS', 'S', 'M', 'L', 'XL']"
top32,헤비웨이트 오버사이즈 후디드 스웨트셔츠 [미디엄 그레이],상의,"38,304 ~ 39,900원",https://image.msscdn.net/images/goods_img/20201012/1642904/1642904_17025309142360_500.jpg,https://www.musinsa.com/app/goods/1642904,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top33,Arch Logo Hoodie Navy,상의,"53,890 ~ 65,800원",https://image.msscdn.net/images/goods_img/20200903/1583547/1583547_16765094587622_500.jpg,https://www.musinsa.com/app/goods/1583547,"['S', 'M', 'L', 'XL']"
top34,오버핏 아치 로고 스웨트 셔츠-와인,상의,"36,668 ~ 39,900원",https://image.msscdn.net/images/goods_img/20210830/2096929/2096929_3_500.jpg,https://www.musinsa.com/app/goods/2096929,"['S', 'M', 'L', 'XL']"
top35,ROUND LOGO CREWNECK SWEATSHIRT BLACK,상의,"36,668 ~ 39,900원",https://image.msscdn.net/images/goods_img/20210907/2114319/2114319_1_500.jpg,https://www.musinsa.com/app/goods/2114319,"['S', 'M', 'L']"
top36,[블랙]SET B-스테디 하프 폴라넥,상의,"27,478 ~ 29,900원",https://image.msscdn.net/images/goods_img/20181010/876284/876284_17156659533611_500.jpg,https://www.musinsa.com/app/goods/876284,"['1', '2', '3', '4']"
top37,[2PACK] 핀스 오버핏 카라 반팔티 2PACK YHST2354,상의,"48,900원",https://image.msscdn.net/images/goods_img/20210421/1911516/1911516_1_500.jpg,https://www.musinsa.com/app/goods/1911516,"['M', 'L', 'XL', '2XL']"
top38,UNISEX LAUREL OVERSIZED HOODIE,상의,"39,185 ~ 42,780원",https://image.msscdn.net/images/goods_img/20191103/1211169/1211169_9_500.jpg,https://www.musinsa.com/app/goods/1211169,"['BLACK S(쭈리) N', 'BLACK M(쭈리) N', 'BLACK L(쭈리) N']"
